index,model_id,fraction_code,domain,mean_supported_map,sample_std_supported_map
0,M0,01,Finland,0.2636472349,0.0142781684
24,M1,01,Finland,0.2815988575,0.01565928291
52,M2,01,Finland,0.1950230042,0.02028777387
76,M3,01,Finland,0.2324000746,0.03091706227
100,M4,01,Finland,0.227571945,0.02345163608
124,M5,01,Finland,0.2952367987,0.007994798023
136,M6,01,Finland,0.3600054852,0.01482833318
4,M0,05,Finland,0.3277199257,0.01558723201
28,M1,05,Finland,0.315956669,0.01003116929
56,M2,05,Finland,0.2618840897,0.03408996818
80,M3,05,Finland,0.2745339182,0.00892552432
104,M4,05,Finland,0.2764951676,0.01478123957
8,M0,10,Finland,0.3316799092,0.009514365554
32,M1,10,Finland,0.3463192861,0.02611115505
48,M1RGB,10,Finland,0.3166638794,0.01032788472
60,M2,10,Finland,0.259115404,0.0138958308
84,M3,10,Finland,0.2908261657,0.008045804815
108,M4,10,Finland,0.2781539364,0.01838475694
128,M5,10,Finland,0.3220926287,0.0276317622
140,M6,10,Finland,0.4325028951,0.01965634303
20,M0,100,Finland,0.369908238,0.01086233627
44,M1,100,Finland,0.3883101886,0.003234514725
72,M2,100,Finland,0.3065224989,0.003168888509
96,M3,100,Finland,0.3690012054,0.01974711848
120,M4,100,Finland,0.3653538054,0.003835429012
132,M5,100,Finland,0.3805801265,0.008730517499
144,M6,100,Finland,0.4553352428,0.002715334442
12,M0,25,Finland,0.3758752246,0.01177016192
36,M1,25,Finland,0.3680543266,0.01320190684
64,M2,25,Finland,0.2931302569,0.005672132361
88,M3,25,Finland,0.3557790101,0.01966940653
112,M4,25,Finland,0.3393092036,0.02228851639
16,M0,50,Finland,0.3724245496,0.01173093607
40,M1,50,Finland,0.3774470635,0.008239113031
68,M2,50,Finland,0.3015825929,0.005348663513
92,M3,50,Finland,0.3556091129,0.01312968447
116,M4,50,Finland,0.3526438982,0.01281281106
1,M0,01,I,0.3475763925,0.00891020574
25,M1,01,I,0.3745492746,0.02045127191
53,M2,01,I,0.2910388607,0.02258524135
77,M3,01,I,0.2924314954,0.01141634746
101,M4,01,I,0.3035964219,0.01283349338
125,M5,01,I,0.3705052436,0.0139486051
137,M6,01,I,0.4556597978,0.0171021878
5,M0,05,I,0.4189185037,0.008597058785
29,M1,05,I,0.4585315638,0.01988009209
57,M2,05,I,0.3421990591,0.004988492973
81,M3,05,I,0.3518664748,0.002192359137
105,M4,05,I,0.3584071943,0.005078025745
9,M0,10,I,0.4653603956,0.005397234159
33,M1,10,I,0.4842723823,0.004978390671
49,M1RGB,10,I,0.4712527835,0.01942980216
61,M2,10,I,0.3845088437,0.01651846547
85,M3,10,I,0.4155521542,0.01847715686
109,M4,10,I,0.4176202648,0.01341264021
129,M5,10,I,0.4940646918,0.01719244608
141,M6,10,I,0.5912022135,0.01901921531
21,M0,100,I,0.587013778,0.005648502861
45,M1,100,I,0.5813756029,0.01098433526
73,M2,100,I,0.5130227894,0.004810368277
97,M3,100,I,0.5704635958,0.01305276363
121,M4,100,I,0.5628620015,0.002756066623
133,M5,100,I,0.6242175262,0.005996926493
145,M6,100,I,0.6699165122,0.0007569930403
13,M0,25,I,0.5183664172,0.01323404883
37,M1,25,I,0.5438526746,0.0147764377
65,M2,25,I,0.4335978273,0.00974976055
89,M3,25,I,0.4953568883,0.007200285125
113,M4,25,I,0.4961099331,0.009728561895
17,M0,50,I,0.5421429931,0.009083095973
41,M1,50,I,0.5742812943,0.006173534844
69,M2,50,I,0.4676605073,0.0143211158
93,M3,50,I,0.5291864096,0.001292216545
117,M4,50,I,0.5265014169,0.008592343275
2,M0,01,OOD,0.2637640597,0.009164186731
26,M1,01,OOD,0.295723571,0.009143266714
54,M2,01,OOD,0.2155459738,0.0167719952
78,M3,01,OOD,0.2410722055,0.02332409322
102,M4,01,OOD,0.2394432639,0.01099841817
126,M5,01,OOD,0.2932499076,0.0008932653118
138,M6,01,OOD,0.3618939823,0.01211904344
6,M0,05,OOD,0.3147506857,0.005251259643
30,M1,05,OOD,0.3178231553,0.002964526234
58,M2,05,OOD,0.2604116867,0.01068903236
82,M3,05,OOD,0.2744086247,0.009737329091
106,M4,05,OOD,0.274562539,0.003487891147
10,M0,10,OOD,0.3183310253,0.004132383959
34,M1,10,OOD,0.3461300801,0.02136934762
50,M1RGB,10,OOD,0.3161953364,0.006319000664
62,M2,10,OOD,0.2679719888,0.002977739273
86,M3,10,OOD,0.2896715023,0.002030274541
110,M4,10,OOD,0.2836667078,0.006579420029
130,M5,10,OOD,0.3255946514,0.02020295346
142,M6,10,OOD,0.4246844623,0.01823494544
22,M0,100,OOD,0.3613461869,0.01002571263
46,M1,100,OOD,0.3801272187,0.0076213341
74,M2,100,OOD,0.2980675456,0.00239754859
98,M3,100,OOD,0.3588582068,0.008093571801
122,M4,100,OOD,0.355505626,0.00489256785
134,M5,100,OOD,0.3777813469,0.0049555261
146,M6,100,OOD,0.4504788684,0.001882185575
14,M0,25,OOD,0.3559793646,0.008545176035
38,M1,25,OOD,0.3581730184,0.008345257417
66,M2,25,OOD,0.2867194893,0.003240347625
90,M3,25,OOD,0.3424655932,0.01056403017
114,M4,25,OOD,0.3290211707,0.01222377576
18,M0,50,OOD,0.3651206185,0.01050665348
42,M1,50,OOD,0.3703137347,0.003223835211
70,M2,50,OOD,0.2964932255,0.00572612801
94,M3,50,OOD,0.3471702578,0.007958786095
118,M4,50,OOD,0.3457725826,0.007568092691
3,M0,01,Portugal,0.2638808846,0.008662900568
27,M1,01,Portugal,0.3098482846,0.01218296163
55,M2,01,Portugal,0.2360689435,0.01620969789
79,M3,01,Portugal,0.2497443364,0.01728891518
103,M4,01,Portugal,0.2513145828,0.01421776164
127,M5,01,Portugal,0.2912630166,0.00921437286
139,M6,01,Portugal,0.3637824795,0.01442531986
7,M0,05,Portugal,0.3017814456,0.007851508666
31,M1,05,Portugal,0.3196896416,0.007646283805
59,M2,05,Portugal,0.2589392837,0.01327369431
83,M3,05,Portugal,0.2742833311,0.0107378552
107,M4,05,Portugal,0.2726299105,0.008008164663
11,M0,10,Portugal,0.3049821414,0.01082457011
35,M1,10,Portugal,0.3459408741,0.01695693627
51,M1RGB,10,Portugal,0.3157267934,0.002509632259
63,M2,10,Portugal,0.2768285736,0.008553100612
87,M3,10,Portugal,0.2885168389,0.01002469229
111,M4,10,Portugal,0.2891794791,0.006083679664
131,M5,10,Portugal,0.3290966742,0.01281665621
143,M6,10,Portugal,0.4168660294,0.01714819296
23,M0,100,Portugal,0.3527841357,0.01470940391
47,M1,100,Portugal,0.3719442488,0.01218964461
75,M2,100,Portugal,0.2896125923,0.001880081043
99,M3,100,Portugal,0.3487152083,0.004086122604
123,M4,100,Portugal,0.3456574466,0.006309437512
135,M5,100,Portugal,0.3749825673,0.009806620377
147,M6,100,Portugal,0.4456224941,0.003127028548
15,M0,25,Portugal,0.3360835047,0.009545899578
39,M1,25,Portugal,0.3482917101,0.008288443135
67,M2,25,Portugal,0.2803087216,0.005862019048
91,M3,25,Portugal,0.3291521763,0.007937464903
115,M4,25,Portugal,0.3187331379,0.003711247479
19,M0,50,Portugal,0.3578166874,0.01281112009
43,M1,50,Portugal,0.3631804059,0.006174974809
71,M2,50,Portugal,0.2914038582,0.007902618774
95,M3,50,Portugal,0.3387314027,0.009418662156
119,M4,50,Portugal,0.338901267,0.007501347983
