index,model_id,condition,domain,supported_map,supported_map,degradation_from_clean,degradation_from_clean,mean_feature_cosine_change,mean_feature_cosine_change
,,,,mean,std,mean,std,mean,std
0,M3,clean,Finland,0.2908261657,0.008045804815,,,0,0
24,M4,clean,Finland,0.2781539364,0.01838475694,,,0,0
4,M3,gain_0p9,Finland,0.29421058,0.0118689693,-0.003384414328,0.003968220695,0.03126981109,0.001553762576
28,M4,gain_0p9,Finland,0.2844003027,0.022053428,-0.006246366285,0.005758594063,0.03958083255,0.007450764617
8,M3,gain_1p1,Finland,0.2875270009,0.005722405919,0.003299164739,0.002325177714,0.03074982824,0.002850392341
32,M4,gain_1p1,Finland,0.2732405278,0.01560953661,0.004913408666,0.003133406053,0.03860470653,0.009729806099
12,M3,missing_b08,Finland,0.2658021831,0.02033816734,0.02502398258,0.01248253695,0.1209636678,0.05047455244
36,M4,missing_b08,Finland,0.2735165531,0.01748748871,0.004637383362,0.009741428898,0.1175493474,0.09193194451
16,M3,missing_red_edge,Finland,0.1955661891,0.0104840311,0.09525997655,0.01568116157,0.3880211016,0.084776345
40,M4,missing_red_edge,Finland,0.2338055798,0.03744321522,0.04434835662,0.0250065273,0.2585446139,0.1191200352
20,M3,missing_swir,Finland,0.2337600715,0.007822723281,0.05706609418,0.01526000173,0.3897701601,0.02052882559
44,M4,missing_swir,Finland,0.2681219831,0.01715768028,0.01003195331,0.03179809113,0.2151961426,0.01683822733
1,M3,clean,I,0.4155521542,0.01847715686,,,0,0
25,M4,clean,I,0.4176202648,0.01341264021,,,0,0
5,M3,gain_0p9,I,0.4015800018,0.01449190465,0.01397215237,0.01045693668,0.06601401667,0.02169765106
29,M4,gain_0p9,I,0.4121520057,0.005326404756,0.005468259122,0.01600261699,0.07033269107,0.01668558718
9,M3,gain_1p1,I,0.4117899151,0.02886809181,0.003762239144,0.01044430661,0.04841979593,0.01111718936
33,M4,gain_1p1,I,0.409167729,0.02019021048,0.00845253583,0.007060330539,0.04614735767,0.008833631353
13,M3,missing_b08,I,0.3380933523,0.04391572275,0.07745880189,0.0384791291,0.2419903725,0.05533850607
37,M4,missing_b08,I,0.3745317735,0.04365263623,0.0430884913,0.03556728325,0.1858249952,0.09953068241
17,M3,missing_red_edge,I,0.2867235994,0.02639744992,0.1288285548,0.03116232009,0.467784514,0.02144346306
41,M4,missing_red_edge,I,0.3203043416,0.05570191249,0.09731592327,0.04507419355,0.2708716889,0.1050330951
21,M3,missing_swir,I,0.254443401,0.02025752994,0.1611087532,0.03746649724,0.444338729,0.02704421457
45,M4,missing_swir,I,0.367719269,0.01951776359,0.04990099579,0.01912178212,0.1925476442,0.02897466306
2,M3,clean,OOD,0.2896715023,0.002030274541,,,0,0
26,M4,clean,OOD,0.2836667078,0.006579420029,,,0,0
6,M3,gain_0p9,OOD,0.293061352,0.001902008681,-0.003389849676,0.003008932169,0.045299892,0.004675176054
30,M4,gain_0p9,OOD,0.2885870352,0.009043152769,-0.004920327382,0.003528006921,0.04607064991,0.01071572632
10,M3,gain_1p1,OOD,0.2869063362,0.002952997583,0.002765166097,0.001050444473,0.03902657051,0.009022790039
34,M4,gain_1p1,OOD,0.2808351466,0.00524206434,0.002831561186,0.002249394967,0.03842616019,0.009730775587
14,M3,missing_b08,OOD,0.2701043081,0.009040640699,0.01956719414,0.01037539921,0.1171089013,0.03493893756
38,M4,missing_b08,OOD,0.277441213,0.01607237779,0.006225494745,0.01042365879,0.1052124531,0.08915294688
18,M3,missing_red_edge,OOD,0.203299728,0.008643572286,0.08637177425,0.007312285154,0.417180419,0.054563191
42,M4,missing_red_edge,OOD,0.236690578,0.0329250301,0.04697612978,0.02662882073,0.2226962224,0.09258820335
22,M3,missing_swir,OOD,0.2328679194,0.00529163483,0.0568035829,0.003453788822,0.4319475045,0.02003640926
46,M4,missing_swir,OOD,0.2732851607,0.009869777256,0.01038154713,0.01475835031,0.2220307762,0.03219589396
3,M3,clean,Portugal,0.2885168389,0.01002469229,,,0,0
27,M4,clean,Portugal,0.2891794791,0.006083679664,,,0,0
7,M3,gain_0p9,Portugal,0.2919121239,0.008220289362,-0.003395285023,0.002430334718,0.05932997291,0.0106745695
31,M4,gain_0p9,Portugal,0.2927737676,0.004376866537,-0.00359428848,0.001912671816,0.05256046727,0.01593228629
11,M3,gain_1p1,Portugal,0.2862856714,0.01005511278,0.002231167455,0.001519575846,0.04730331277,0.01524082726
35,M4,gain_1p1,Portugal,0.2884297654,0.00743215763,0.0007497137055,0.001471240311,0.03824761386,0.01306390536
15,M3,missing_b08,Portugal,0.2744064332,0.003904453712,0.0141104057,0.008962192932,0.1132541349,0.02012591859
39,M4,missing_b08,Portugal,0.281365873,0.01656085596,0.007813606129,0.02192997405,0.09287555888,0.08704753333
19,M3,missing_red_edge,Portugal,0.2110332669,0.01072974341,0.07748357196,0.005172012161,0.4463397364,0.0247224785
43,M4,missing_red_edge,Portugal,0.2395755762,0.02953177966,0.04960390294,0.03439819859,0.1868478308,0.06644728115
23,M3,missing_swir,Portugal,0.2319757673,0.01635124201,0.05654107163,0.01965404873,0.4741248488,0.02113911693
47,M4,missing_swir,Portugal,0.2784483382,0.004376792424,0.01073114095,0.003315572751,0.2288654099,0.08056682188
