stage,task_type,run_id,model_id,seed,fraction_code,status,elapsed_seconds,artifact_sha256,source_commit
week4,ssl_pretraining,week4-m2-seed17,M2,17,,success,1460.504698,15acfb61e69195840cf62de218cd6f84d90aa219effe2089bee0a4660eaad150,uncommitted
week4,ssl_pretraining,week4-m2-seed29,M2,29,,success,1494.981395,bd50f7625f62c2799ab083622eeda4b7ff2e7ea9c287ac9045b66fa109cee754,uncommitted
week4,ssl_pretraining,week4-m2-seed43,M2,43,,success,1489.031106,995e19808f5612b4cec97d9d74aa775cab68a604c7d4f2d8c9d911249782e043,uncommitted
week4,ssl_pretraining,week4-m3-seed17,M3,17,,success,2754.251245,a400d4e8ce2845bf1d368799b190a8f6765d9eafbd677b7356b6ae98019422c3,uncommitted
week4,ssl_pretraining,week4-m3-seed29,M3,29,,success,2856.516964,b6e6c68b17a86d00bc53409f9aa267c03d678db2e28e1a0446f26b9cbebe8a5b,uncommitted
week4,ssl_pretraining,week4-m3-seed43,M3,43,,success,2884.215936,f617b703157783d70e91e4a5e3172898fda8c89cc2c71b8e9912a978b3929709,uncommitted
week4,ssl_pretraining,week4-m4-seed17,M4,17,,success,2829.178183,28c3a05108ac0728b1c3bdf6945fb1d5201366116f822df2698fe4a94003a281,uncommitted
week4,ssl_pretraining,week4-m4-seed29,M4,29,,success,2861.340952,3b248b40a971c6368b9d4c72c17d95e05c362c8cecd1c63ecb6e1ca9575015f1,uncommitted
week4,ssl_pretraining,week4-m4-seed43,M4,43,,success,2872.920516,84e459ce3025ff8c7e373a3a93593b2b3c205fa091c22470dfefb48e7e532831,uncommitted
week5,downstream_anchor,week5-m0-f01-seed17,M0,17,01,success,171.2844809,63e9d5631b642dbac206fa363e776c604d671511272f39eb7f721052a2c1ddaa,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m0-f01-seed29,M0,29,01,success,168.3695269,952f912bf34bf974a57d30ea496d6b56bd3d604e5a361eed88b178eaa1dc1661,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m0-f01-seed43,M0,43,01,success,188.256838,64078b1d54981b4f694610cc931e0eca3378fc36ab9499cd956b815d8225e88d,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m0-f10-seed17,M0,17,10,success,145.4406365,e1be603842cd23d67cca446c8f8aeafc0eba6f042a7091ff253ce302900eef55,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m0-f10-seed29,M0,29,10,success,143.4641514,25c4b1103016da378d85e0cc0189ea6887c87bd850d01192831e8b424feaf0da,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
