row_type,name,seed,normalized_log10_aulc,mean_difference,sample_std_difference
model_seed,M0,17,0.49996759439472804,,
model_seed,M0,29,0.5013485548506357,,
model_seed,M0,43,0.5021732383999408,,
model_seed,M1,17,0.5068019603056627,,
model_seed,M1,29,0.5068924046874415,,
model_seed,M1,43,0.5177251001690456,,
model_seed,M2,17,0.40287446681640504,,
model_seed,M2,29,0.4084946282377084,,
model_seed,M2,43,0.3991448930818788,,
model_seed,M3,17,0.45578728741872876,,
model_seed,M3,29,0.4621438363470338,,
model_seed,M3,43,0.4643708611283376,,
model_seed,M4,17,0.4551050173141067,,
model_seed,M4,29,0.4616526310565562,,
model_seed,M4,43,0.4513904811011006,,
comparison,H1,,,-0.040395800917068105,0.003351642107282038
comparison,H2,,,0.05726266558603599,0.006906244000703213
comparison,H3,,,-0.004717951807445571,0.007156110431386969
comparison,stem_control,,,-0.024269665684254427,0.0029695441750054157
