comparison,left_model,right_model,fraction_code,label_count,seed,paired_map_difference
H1,M3,M0,01,120,17,-0.03162765000977724
H1,M3,M0,05,600,17,-0.07208179795682551
H1,M3,M0,10,1200,17,-0.0460991729343036
H1,M3,M0,25,3000,17,-0.03282116887514819
H1,M3,M0,50,6000,17,-0.030132395874380213
H1,M3,M0,100,12000,17,-0.030655382387300256
H1,M3,M0,01,120,29,-0.03846198284460722
H1,M3,M0,05,600,29,-0.07469836368365179
H1,M3,M0,10,1200,29,-0.05511036906692496
H1,M3,M0,25,3000,29,-0.00804860650751782
H1,M3,M0,50,6000,29,-0.014914756027503695
H1,M3,M0,100,12000,29,-0.007012359996644957
H1,M3,M0,01,120,43,-0.03812012934781195
H1,M3,M0,05,600,43,-0.07417090222987949
H1,M3,M0,10,1200,43,-0.04003271726627167
H1,M3,M0,25,3000,43,-0.01949715893946602
H1,M3,M0,50,6000,43,-0.010360440210003596
H1,M3,M0,100,12000,43,-0.008459540726998727
H2,M3,M2,01,120,17,0.022102327968144153
H2,M3,M2,05,600,17,0.032937080347562764
H2,M3,M2,10,1200,17,0.05602375963860218
H2,M3,M2,25,3000,17,0.07802131334663814
H2,M3,M2,50,6000,17,0.08094473502561161
H2,M3,M2,100,12000,17,0.06922322151571647
H2,M3,M2,01,120,29,0.019454917238120484
H2,M3,M2,05,600,29,0.002248350842005864
H2,M3,M2,10,1200,29,0.04118574269178016
H2,M3,M2,25,3000,29,0.1003811095837841
H2,M3,M2,50,6000,29,0.1155278556713738
H2,M3,M2,100,12000,29,0.10046970505303532
H2,M3,M2,01,120,43,0.02793723638989748
H2,M3,M2,05,600,43,0.035806123477231555
H2,M3,M2,10,1200,43,0.049081752435769344
H2,M3,M2,25,3000,43,0.11046270691130333
H2,M3,M2,50,6000,43,0.11164429390412511
H2,M3,M2,100,12000,43,0.08915093111396033
H3,M4,M3,01,120,17,-0.013795221321865558
H3,M4,M3,05,600,17,-0.011000096559653283
H3,M4,M3,10,1200,17,-0.017779870876616644
H3,M4,M3,25,3000,17,0.01719099607182184
H3,M4,M3,50,6000,17,0.024410715241550696
H3,M4,M3,100,12000,17,0.012053127325554636
H3,M4,M3,01,120,29,-0.006579509574038966
H3,M4,M3,05,600,29,0.008144342277910444
H3,M4,M3,10,1200,29,0.004311086752907367
H3,M4,M3,25,3000,29,-0.00431047337778967
H3,M4,M3,50,6000,29,-0.0067291964624468514
H3,M4,M3,100,12000,29,-0.004847797204033055
H3,M4,M3,01,120,43,-0.024968817368110074
H3,M4,M3,05,600,43,-0.01410292204891811
H3,M4,M3,10,1200,43,-0.015334128267599056
H3,M4,M3,25,3000,43,-0.013785257550778529
H3,M4,M3,50,6000,43,-0.000892253033158652
H3,M4,M3,100,12000,43,0.0017427612421326844
stem_control,M1RGB,M1,10,1200,17,-0.02148432308601156
stem_control,M1RGB,M1,10,1200,29,-0.023930403796119826
stem_control,M1RGB,M1,10,1200,43,-0.027394270170631896
