domain,fraction_code,model_id,mean_supported_map,sample_std_supported_map,rank
Finland,01,M6,0.36000548518904596,0.014828333175760483,1
Finland,01,M5,0.2952367987347226,0.00799479802276874,2
Finland,01,M1,0.2815988575082867,0.01565928290854752,3
Finland,01,M0,0.2636472348501319,0.014278168404145416,4
Finland,01,M3,0.23240007458469294,0.030917062268008062,5
Finland,01,M4,0.22757194500580405,0.023451636081258383,6
Finland,01,M2,0.1950230041725133,0.020287773873347542,7
Finland,05,M0,0.3277199257456221,0.01558723200673587,1
Finland,05,M1,0.3159566690412346,0.010031169290283167,2
Finland,05,M4,0.2764951676311979,0.014781239574255768,3
Finland,05,M3,0.27453391824132245,0.008925524320262473,4
Finland,05,M2,0.2618840897274643,0.03408996818333859,5
Finland,10,M6,0.43250289514412626,0.019656343027986266,1
Finland,10,M1,0.3463192860685471,0.026111155047075535,2
Finland,10,M0,0.33167990922188034,0.009514365554455454,3
Finland,10,M5,0.322092628711675,0.02763176220293224,4
Finland,10,M1RGB,0.31666387940632074,0.010327884715740046,5
Finland,10,M3,0.29082616568747005,0.008045804814657503,6
Finland,10,M4,0.2781539364406222,0.01838475693709027,7
Finland,10,M2,0.259115403990797,0.013895830803505224,8
Finland,100,M6,0.4553352428271926,0.0027153344415053967,1
Finland,100,M1,0.3883101886440765,0.0032345147252765107,2
Finland,100,M5,0.3805801265404281,0.008730517498824085,3
Finland,100,M0,0.369908238004304,0.010862336274686253,4
Finland,100,M3,0.3690012053671679,0.019747118478718087,5
Finland,100,M4,0.3653538054029876,0.003835429012055784,6
Finland,100,M2,0.30652249888289984,0.0031688885091395408,7
Finland,25,M0,0.37587522460861433,0.011770161920265166,1
Finland,25,M1,0.3680543266089826,0.013201906837256298,2
Finland,25,M3,0.35577901005746476,0.019669406530474956,3
Finland,25,M4,0.33930920355752375,0.02228851639328961,4
Finland,25,M2,0.29313025691909855,0.005672132360768189,5
Finland,50,M1,0.3774470635267837,0.0082391130308065,1
Finland,50,M0,0.37242454959458593,0.011730936066435941,2
Finland,50,M3,0.3556091129159605,0.013129684474708763,3
Finland,50,M4,0.3526438981826974,0.012812811064146307,4
Finland,50,M2,0.30158259287455724,0.005348663512749822,5
I,01,M6,0.4556597977516823,0.01710218779529404,1
I,01,M1,0.37454927463899595,0.020451271910820846,2
I,01,M5,0.37050524359959464,0.013948605096460731,3
I,01,M0,0.34757639246213207,0.008910205740004933,4
I,01,M4,0.3035964218996399,0.012833493382719094,5
I,01,M3,0.2924314953511049,0.011416347463035825,6
I,01,M2,0.2910388607400026,0.022585241354413057,7
I,05,M1,0.4585315637958873,0.019880092092880216,1
I,05,M0,0.41891850374239975,0.008597058784843603,2
I,05,M4,0.35840719432314366,0.005078025744753806,3
I,05,M3,0.3518664748059182,0.0021923591371951845,4
I,05,M2,0.34219905914189724,0.004988492972728246,5
I,10,M6,0.591202213543829,0.019019215314294416,1
I,10,M5,0.4940646917863252,0.017192446083556447,2
I,10,M1,0.48427238233558967,0.004978390670822092,3
I,10,M1RGB,0.471252783543481,0.019429802162032567,4
I,10,M0,0.46536039563118914,0.0053972341592777905,5
I,10,M4,0.41762026481827874,0.013412640207508174,6
I,10,M3,0.4155521542045844,0.018477156858462657,7
I,10,M2,0.3845088437107191,0.016518465474976884,8
I,100,M6,0.6699165122008321,0.0007569930403201688,1
I,100,M5,0.6242175262240771,0.005996926492656481,2
I,100,M0,0.5870137780066657,0.005648502861189143,3
I,100,M1,0.5813756028695849,0.010984335262059471,4
I,100,M3,0.5704635957553611,0.01305276362908369,5
I,100,M4,0.5628620015351686,0.0027560666226369014,6
I,100,M2,0.5130227894454231,0.004810368276789931,7
I,25,M1,0.5438526746125475,0.01477643770216321,1
I,25,M0,0.5183664172270719,0.013234048828779339,2
I,25,M4,0.496109933118209,0.00972856189495615,3
I,25,M3,0.49535688825333984,0.007200285125367201,4
I,25,M2,0.4335978273331003,0.009749760549794415,5
I,50,M1,0.5742812943103214,0.006173534844343651,1
I,50,M0,0.5421429931060882,0.009083095973154891,2
I,50,M3,0.5291864095999114,0.0012922165445157189,3
I,50,M4,0.5265014168708361,0.008592343275417231,4
I,50,M2,0.46766050727825964,0.014321115803890075,5
OOD,01,M6,0.36189398234985726,0.01211904343513348,1
OOD,01,M1,0.295723571046289,0.00914326671355409,2
OOD,01,M5,0.2932499076435658,0.0008932653117763207,3
OOD,01,M0,0.26376405973247236,0.00916418673068907,4
OOD,01,M3,0.24107220551225808,0.023324093219506386,5
OOD,01,M4,0.23944326388816892,0.010998418166809873,6
OOD,01,M2,0.21554597382277838,0.016771995199364585,7
OOD,05,M1,0.3178231553275086,0.0029645262340756632,1
OOD,05,M0,0.3147506856958042,0.005251259643027633,2
OOD,05,M4,0.27456253904265376,0.0034878911474855376,3
OOD,05,M3,0.2744086246903503,0.009737329091064053,4
OOD,05,M2,0.2604116867345001,0.010689032355386518,5
OOD,10,M6,0.42468446226044804,0.01823494544222625,1
OOD,10,M1,0.346130080101841,0.021369347622910113,2
OOD,10,M5,0.32559465144420874,0.02020295346021706,3
OOD,10,M0,0.31833102531325186,0.004132383958559129,4
OOD,10,M1RGB,0.316195336422977,0.006319000664488596,5
OOD,10,M3,0.2896715022896174,0.002030274541446222,6
OOD,10,M4,0.28366670778977604,0.0065794200286299325,7
OOD,10,M2,0.2679719888065571,0.0029777392729424803,8
OOD,100,M6,0.45047886844725005,0.0018821855748338899,1
OOD,100,M1,0.3801272186978693,0.007621334100303043,2
OOD,100,M5,0.37778134693418614,0.004955526099538485,3
OOD,100,M0,0.3613461868766051,0.010025712629680147,4
OOD,100,M3,0.3588582068110264,0.008093571801475304,5
OOD,100,M4,0.35550562598965035,0.0048925678504269186,6
OOD,100,M2,0.29806754558043635,0.002397548589966267,7
OOD,25,M1,0.3581730183517227,0.008345257417115028,1
OOD,25,M0,0.35597936464949265,0.008545176034599292,2
OOD,25,M3,0.34246559320352005,0.010564030168988077,3
OOD,25,M4,0.3290211707269207,0.012223775761606609,4
OOD,25,M2,0.2867194892781377,0.0032403476246969276,5
OOD,50,M1,0.37031373470596257,0.003223835210793816,1
OOD,50,M0,0.3651206185218907,0.010506653480650432,2
OOD,50,M3,0.3471702578141492,0.007958786094907222,3
OOD,50,M4,0.3457725826121932,0.007568092690531504,4
OOD,50,M2,0.2964932255236791,0.005726128010483482,5
Portugal,01,M6,0.36378247951066855,0.014425319855021518,1
Portugal,01,M1,0.30984828458429126,0.012182961625734432,2
Portugal,01,M5,0.2912630165524091,0.009214372860316969,3
Portugal,01,M0,0.26388088461481285,0.008662900567607833,4
Portugal,01,M4,0.25131458277053376,0.014217761639691996,5
Portugal,01,M3,0.24974433643982327,0.017288915179612903,6
Portugal,01,M2,0.2360689434730434,0.016209697891263353,7
Portugal,05,M1,0.3196896416137825,0.007646283804736378,1
Portugal,05,M0,0.30178144564598636,0.007851508666420558,2
Portugal,05,M3,0.27428333113937825,0.010737855201135925,3
Portugal,05,M4,0.2726299104541096,0.00800816466264263,4
Portugal,05,M2,0.2589392837415359,0.013273694311721011,5
Portugal,10,M6,0.4168660293767699,0.01714819296441243,1
Portugal,10,M1,0.3459408741351349,0.01695693626967941,2
Portugal,10,M5,0.32909667417674243,0.012816656207250227,3
Portugal,10,M1RGB,0.31572679343963317,0.002509632259067641,4
Portugal,10,M0,0.3049821414046235,0.010824570106574281,5
Portugal,10,M4,0.2891794791389299,0.006083679663722279,6
Portugal,10,M3,0.2885168388917647,0.01002469229354029,7
Portugal,10,M2,0.2768285736223173,0.008553100612404269,8
Portugal,100,M6,0.4456224940673074,0.003127028547994502,1
Portugal,100,M5,0.37498256732794405,0.009806620377212217,2
Portugal,100,M1,0.37194424875166204,0.012189644614626516,3
Portugal,100,M0,0.35278413574890616,0.014709403910537667,4
Portugal,100,M3,0.34871520825488495,0.004086122604236701,5
Portugal,100,M4,0.34565744657631314,0.006309437511897594,6
Portugal,100,M2,0.28961259227797287,0.0018800810430761414,7
Portugal,25,M1,0.34829171009446297,0.008288443135199369,1
Portugal,25,M0,0.3360835046903709,0.009545899577952675,2
Portugal,25,M3,0.3291521763495752,0.007937464902550808,3
Portugal,25,M4,0.3187331378963177,0.0037112474786706764,4
Portugal,25,M2,0.28030872163717674,0.005862019047559495,5
Portugal,50,M1,0.3631804058851414,0.006174974809238181,1
Portugal,50,M0,0.3578166874491955,0.01281112009231277,2
Portugal,50,M4,0.33890126704168894,0.007501347982837184,3
Portugal,50,M3,0.3387314027123378,0.009418662155548407,4
Portugal,50,M2,0.291403858172801,0.007902618773724605,5
