hypothesis,left_model,right_model,fraction_code,domain,grouping,observed_paired_difference,bootstrap_mean,percentile_2_5,percentile_97_5,replicates,p_value
H1,M3,M0,01,I,MGRS,-0.055172518108784575,-0.05051378459641608,-0.06892202510270126,-0.026600059391845936,1000,
H1,M3,M0,01,Finland,MGRS,-0.031267934351653016,-0.04216040960864051,-0.06901486454664763,-0.023627765851826445,1000,
H1,M3,M0,01,Portugal,MGRS,-0.014136548174989568,-0.016153783484690053,-0.03596076351734228,-0.004498728242151713,1000,
H1,M3,M0,01,OOD,MGRS,-0.022702241263321293,-0.029157096546665283,-0.04427442324142261,-0.01719254469624315,1000,
H1,M3,M0,01,I,12km-block,-0.055172518108784575,-0.05438800822275088,-0.06478905245075568,-0.04189994159131466,1000,
H1,M3,M0,01,Finland,12km-block,-0.031267934351653016,-0.04041604760342248,-0.06069359716055163,-0.026171912894991167,1000,
H1,M3,M0,01,Portugal,12km-block,-0.014136548174989568,-0.014496584119876282,-0.021552047009614238,-0.007328802403841201,1000,
H1,M3,M0,01,OOD,12km-block,-0.022702241263321293,-0.027456315861649382,-0.03903703010427534,-0.018947192230531047,1000,
H1,M3,M0,05,I,MGRS,-0.06705208071446155,-0.06612471702145224,-0.08330519742359642,-0.04496262573621176,1000,
H1,M3,M0,05,Finland,MGRS,-0.05318597433094966,-0.05658136802711989,-0.07892661861625351,-0.034961273163085935,1000,
H1,M3,M0,05,Portugal,MGRS,-0.027498114506608124,-0.029333321046767752,-0.055704173871068303,-0.02293446888056459,1000,
H1,M3,M0,05,OOD,MGRS,-0.040342044418778894,-0.042957344536943824,-0.05547225751816869,-0.03153517045963427,1000,
H1,M3,M0,05,I,12km-block,-0.06705208071446155,-0.06654925726121215,-0.07769907356068045,-0.05468989758042777,1000,
H1,M3,M0,05,Finland,12km-block,-0.05318597433094966,-0.05458071960669682,-0.06883163961846508,-0.03898889208869037,1000,
H1,M3,M0,05,Portugal,12km-block,-0.027498114506608124,-0.02806720867528119,-0.035268069776006494,-0.021581739334081022,1000,
H1,M3,M0,05,OOD,12km-block,-0.040342044418778894,-0.041323964140988996,-0.04864036708965946,-0.03254859196748151,1000,
H1,M3,M0,10,I,MGRS,-0.04980826059399118,-0.05050926402716442,-0.06401973836415974,-0.03610498462638739,1000,
H1,M3,M0,10,Finland,MGRS,-0.04085374199926369,-0.04238772842702087,-0.05800628049125789,-0.026512643653126694,1000,
