left,right,cka
M3-s17,M3-s17,1.0
M3-s17,M4-s17,0.8276478676196791
M3-s17,M3-s29,0.8860473772775075
M3-s17,M4-s29,0.9272687347189031
M3-s17,M3-s43,0.8649641345765832
M3-s17,M4-s43,0.9244424466504517
M4-s17,M3-s17,0.8276478676196791
M4-s17,M4-s17,1.0
M4-s17,M3-s29,0.8048107793261235
M4-s17,M4-s29,0.8437294063858972
M4-s17,M3-s43,0.805621680237365
M4-s17,M4-s43,0.8550058161161943
M3-s29,M3-s17,0.8860473772775075
M3-s29,M4-s17,0.8048107793261232
M3-s29,M3-s29,1.0
M3-s29,M4-s29,0.8946173509702685
M3-s29,M3-s43,0.8875164462231113
M3-s29,M4-s43,0.882136089022527
M4-s29,M3-s17,0.9272687347189029
M4-s29,M4-s17,0.8437294063858973
M4-s29,M3-s29,0.8946173509702686
M4-s29,M4-s29,1.0
M4-s29,M3-s43,0.8691152991565146
M4-s29,M4-s43,0.9300556810769177
M3-s43,M3-s17,0.8649641345765832
M3-s43,M4-s17,0.8056216802373654
M3-s43,M3-s29,0.8875164462231113
M3-s43,M4-s29,0.8691152991565145
M3-s43,M3-s43,1.0
M3-s43,M4-s43,0.8896066280538435
M4-s43,M3-s17,0.9244424466504518
M4-s43,M4-s17,0.8550058161161945
M4-s43,M3-s29,0.8821360890225272
M4-s43,M4-s29,0.9300556810769179
M4-s43,M3-s43,0.8896066280538436
M4-s43,M4-s43,1.0
