record_type,model_id,seed,normalized_log_label_aulc,left_model,right_model,paired_aulc_difference_mean,paired_aulc_difference_sample_std,seed_differences
model_seed,M1,17.0,0.3824524575398556,,,,,
model_seed,M1,29.0,0.37581447209676405,,,,,
model_seed,M1,43.0,0.37856371706034353,,,,,
model_seed,M2,17.0,0.3200059886677234,,,,,
model_seed,M2,29.0,0.33227630210309717,,,,,
model_seed,M2,43.0,0.29224886438276393,,,,,
model_seed,M3,17.0,0.3486866560271516,,,,,
model_seed,M3,29.0,0.3334057703160738,,,,,
model_seed,M3,43.0,0.3460432629690571,,,,,
model_seed,M4,17.0,0.3511566776678242,,,,,
model_seed,M4,29.0,0.3493674303852802,,,,,
model_seed,M4,43.0,0.3312994489261386,,,,,
model_seed,M5,17.0,0.4236689446934724,,,,,
model_seed,M5,29.0,0.41619963495100476,,,,,
model_seed,M5,43.0,0.4140811760232356,,,,,
model_seed,M6,17.0,0.552823501788005,,,,,
model_seed,M6,29.0,0.5738481233586894,,,,,
model_seed,M6,43.0,0.5494164342412383,,,,,
paired_contrast,,,,M3,M1,-0.03623165246156022,0.0053855989702382406,"[-0.033765801512703975, -0.04240870178069023, -0.032520454091286455]"
paired_contrast,,,,M3,M2,0.027868178052899335,0.026341864530846828,"[0.028680667359428202, 0.0011294682129766587, 0.053794398586293146]"
paired_contrast,,,,M4,M3,0.0012292892223201661,0.015390292323833715,"[0.002470021640672615, 0.01596166006920635, -0.014743814042918468]"
