probe_type,left_model,right_model,fraction_code,paired_difference_mean,paired_difference_sample_std,seed_differences
linear,M3,M1,01,-0.05249474707326233,0.03855793827341946,"[-0.03332894986886498, -0.09688021407258884, -0.02727507727833317]"
linear,M3,M1,05,-0.03642477220188171,0.007776735472014051,"[-0.04291784772820023, -0.038550160746744944, -0.027806308130699953]"
linear,M3,M1,10,-0.025106543534509435,0.004558640831448299,"[-0.029863519254292703, -0.02077623787287708, -0.024679873476358527]"
linear,M3,M1,25,-0.030607941663708487,0.01051215629138055,"[-0.02380259755454206, -0.025305965617346604, -0.042715261819236794]"
linear,M3,M1,50,-0.03401457898888686,0.0038677521426540126,"[-0.03655000535161196, -0.02956280919584109, -0.035930922419207534]"
linear,M3,M1,100,-0.04115208830258826,0.008980416000980887,"[-0.031003954486586327, -0.04437969736106706, -0.0480726130601114]"
linear,M3,M2,01,0.01346359971659288,0.05329731988253211,"[0.008430118713420087, -0.037138416905872274, 0.06909909734223083]"
linear,M3,M2,05,0.021744177927843684,0.013521528816995771,"[0.023286595538319632, 0.007517581633387227, 0.034428356611824196]"
linear,M3,M2,10,0.023246286330534067,0.022892684880870214,"[0.03453606949797772, -0.003098378635495669, 0.038301168129120156]"
linear,M3,M2,25,0.031227236215567406,0.020471168967521196,"[0.03605704149134148, 0.008773034821352055, 0.04885163233400869]"
linear,M3,M2,50,0.04685679454048606,0.03393063721406772,"[0.03521400387616502, 0.020280316317229763, 0.0850760634280634]"
linear,M3,M2,100,0.04661303700174533,0.022645520291001166,"[0.049829797824733624, 0.02253114047447813, 0.06747817270602424]"
linear,M4,M3,01,0.011000235915211229,0.03533625845853438,"[0.018348521775203464, 0.04208459098265771, -0.02743240501222749]"
linear,M4,M3,05,-0.0024437982780046905,0.013737709923501044,"[-0.0036669458636433006, 0.011864585597095412, -0.015529034567466182]"
linear,M4,M3,10,0.0013034838784135954,0.019225646917002397,"[-0.0014913457758781723, 0.021773580603495657, -0.0163717831923767]"
linear,M4,M3,25,0.0038400189505554683,0.008771908735374062,"[0.008313720489588894, 0.009473103299352581, -0.00626676693727507]"
linear,M4,M3,50,-0.0009605864576711828,0.006100519694582194,"[0.000937428810448393, 0.00396530965858477, -0.0077844978420467115]"
linear,M4,M3,100,-0.011110863855880873,0.005043378786971465,"[-0.015317601732620978, -0.005519918837168791, -0.012495070997852853]"
knn,M3,M1,10,-0.07731253725256206,0.0019200665022070956,"[-0.07807171313764566, -0.07512895530932945, -0.07873694331071107]"
knn,M3,M2,10,0.02826802281191047,0.027523451859186164,"[0.030140509941226523, -0.00014385989377296848, 0.05480741838827785]"
knn,M4,M3,10,-0.0053282087658439075,0.01499229971477902,"[-0.014750184295635405, 0.011960093242353975, -0.013194535244250294]"
