run_id,model_id,probe_type,fraction_code,seed,sample_count,validation_supported_map,selected_hyperparameter,feature_cache_sha256
week9-m1-linear-f01-seed17,M1,linear,01,17,120,0.3202165143810472,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f05-seed17,M1,linear,05,17,600,0.3770979159778469,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f10-seed17,M1,linear,10,17,1200,0.3786976967410129,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f25-seed17,M1,linear,25,17,3000,0.3947389590079752,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f50-seed17,M1,linear,50,17,6000,0.42304756804067595,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f100-seed17,M1,linear,100,17,12000,0.44374693516225705,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m2-linear-f01-seed17,M2,linear,01,17,120,0.27845744579876214,0.0001,1650aea0f8b978f09965a63ac6a1c9372aa2d8a5d35d0d533a244170cb422bde
week9-m2-linear-f05-seed17,M2,linear,05,17,600,0.31089347271132706,0.01,1650aea0f8b978f09965a63ac6a1c9372aa2d8a5d35d0d533a244170cb422bde
week9-m2-linear-f10-seed17,M2,linear,10,17,1200,0.31429810798874247,0.01,1650aea0f8b978f09965a63ac6a1c9372aa2d8a5d35d0d533a244170cb422bde
week9-m2-linear-f25-seed17,M2,linear,25,17,3000,0.33487931996209164,0.0,1650aea0f8b978f09965a63ac6a1c9372aa2d8a5d35d0d533a244170cb422bde
week9-m2-linear-f50-seed17,M2,linear,50,17,6000,0.35128355881289897,0.01,1650aea0f8b978f09965a63ac6a1c9372aa2d8a5d35d0d533a244170cb422bde
week9-m2-linear-f100-seed17,M2,linear,100,17,12000,0.3629131828509371,0.01,1650aea0f8b978f09965a63ac6a1c9372aa2d8a5d35d0d533a244170cb422bde
week9-m3-linear-f01-seed17,M3,linear,01,17,120,0.2868875645121822,0.01,29c9513932fec237c6e667f43cd6773119bf30e928ff5d24861f5b94cfdaf39e
week9-m3-linear-f05-seed17,M3,linear,05,17,600,0.3341800682496467,0.01,29c9513932fec237c6e667f43cd6773119bf30e928ff5d24861f5b94cfdaf39e
week9-m3-linear-f10-seed17,M3,linear,10,17,1200,0.3488341774867202,0.01,29c9513932fec237c6e667f43cd6773119bf30e928ff5d24861f5b94cfdaf39e
week9-m3-linear-f25-seed17,M3,linear,25,17,3000,0.3709363614534331,0.01,29c9513932fec237c6e667f43cd6773119bf30e928ff5d24861f5b94cfdaf39e
week9-m3-linear-f50-seed17,M3,linear,50,17,6000,0.386497562689064,0.0001,29c9513932fec237c6e667f43cd6773119bf30e928ff5d24861f5b94cfdaf39e
week9-m3-linear-f100-seed17,M3,linear,100,17,12000,0.4127429806756707,0.0,29c9513932fec237c6e667f43cd6773119bf30e928ff5d24861f5b94cfdaf39e
week9-m4-linear-f01-seed17,M4,linear,01,17,120,0.3052360862873857,0.0,e62d947976f5ee8efc18d9dcc231c93d9c81c0ef00ff36f284117235613ef478
week9-m4-linear-f05-seed17,M4,linear,05,17,600,0.3305131223860034,0.01,e62d947976f5ee8efc18d9dcc231c93d9c81c0ef00ff36f284117235613ef478
week9-m4-linear-f10-seed17,M4,linear,10,17,1200,0.347342831710842,0.01,e62d947976f5ee8efc18d9dcc231c93d9c81c0ef00ff36f284117235613ef478
week9-m4-linear-f25-seed17,M4,linear,25,17,3000,0.379250081943022,0.01,e62d947976f5ee8efc18d9dcc231c93d9c81c0ef00ff36f284117235613ef478
week9-m4-linear-f50-seed17,M4,linear,50,17,6000,0.3874349914995124,0.01,e62d947976f5ee8efc18d9dcc231c93d9c81c0ef00ff36f284117235613ef478
week9-m4-linear-f100-seed17,M4,linear,100,17,12000,0.39742537894304975,0.01,e62d947976f5ee8efc18d9dcc231c93d9c81c0ef00ff36f284117235613ef478
week9-m1-linear-f01-seed29,M1,linear,01,29,120,0.347916798122212,0.0,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f05-seed29,M1,linear,05,29,600,0.35240202788508723,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f10-seed29,M1,linear,10,29,1200,0.35632777056425213,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f25-seed29,M1,linear,25,29,3000,0.393015049205709,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f50-seed29,M1,linear,50,29,6000,0.4157054277171699,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f100-seed29,M1,linear,100,29,12000,0.4438916265637133,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m2-linear-f01-seed29,M2,linear,01,29,120,0.2881750009554954,0.0001,d377b5de1f3ddda1ddfe542eb47b6e618dddeaf31a2e9d38fc83a4c1a2721bcd
week9-m2-linear-f05-seed29,M2,linear,05,29,600,0.30633428550495506,0.01,d377b5de1f3ddda1ddfe542eb47b6e618dddeaf31a2e9d38fc83a4c1a2721bcd
week9-m2-linear-f10-seed29,M2,linear,10,29,1200,0.3386499113268707,0.01,d377b5de1f3ddda1ddfe542eb47b6e618dddeaf31a2e9d38fc83a4c1a2721bcd
week9-m2-linear-f25-seed29,M2,linear,25,29,3000,0.35893604876701035,0.01,d377b5de1f3ddda1ddfe542eb47b6e618dddeaf31a2e9d38fc83a4c1a2721bcd
week9-m2-linear-f50-seed29,M2,linear,50,29,6000,0.36586230220409904,0.01,d377b5de1f3ddda1ddfe542eb47b6e618dddeaf31a2e9d38fc83a4c1a2721bcd
week9-m2-linear-f100-seed29,M2,linear,100,29,12000,0.3769807887281681,0.01,d377b5de1f3ddda1ddfe542eb47b6e618dddeaf31a2e9d38fc83a4c1a2721bcd
week9-m3-linear-f01-seed29,M3,linear,01,29,120,0.25103658404962315,0.0,2fede5c4314fe407dd17c546f7412c586b960258d871a06b7fc9baf5799af0ac
week9-m3-linear-f05-seed29,M3,linear,05,29,600,0.3138518671383423,0.01,2fede5c4314fe407dd17c546f7412c586b960258d871a06b7fc9baf5799af0ac
week9-m3-linear-f10-seed29,M3,linear,10,29,1200,0.33555153269137505,0.01,2fede5c4314fe407dd17c546f7412c586b960258d871a06b7fc9baf5799af0ac
week9-m3-linear-f25-seed29,M3,linear,25,29,3000,0.3677090835883624,0.01,2fede5c4314fe407dd17c546f7412c586b960258d871a06b7fc9baf5799af0ac
week9-m3-linear-f50-seed29,M3,linear,50,29,6000,0.3861426185213288,0.0,2fede5c4314fe407dd17c546f7412c586b960258d871a06b7fc9baf5799af0ac
week9-m3-linear-f100-seed29,M3,linear,100,29,12000,0.3995119292026462,0.01,2fede5c4314fe407dd17c546f7412c586b960258d871a06b7fc9baf5799af0ac
week9-m4-linear-f01-seed29,M4,linear,01,29,120,0.29312117503228086,0.0001,3abd99ef140bde5e9320aa3112afc43157fb57cde28562b66dba63f709bf39be
week9-m4-linear-f05-seed29,M4,linear,05,29,600,0.3257164527354377,0.01,3abd99ef140bde5e9320aa3112afc43157fb57cde28562b66dba63f709bf39be
week9-m4-linear-f10-seed29,M4,linear,10,29,1200,0.3573251132948707,0.01,3abd99ef140bde5e9320aa3112afc43157fb57cde28562b66dba63f709bf39be
week9-m4-linear-f25-seed29,M4,linear,25,29,3000,0.377182186887715,0.01,3abd99ef140bde5e9320aa3112afc43157fb57cde28562b66dba63f709bf39be
week9-m4-linear-f50-seed29,M4,linear,50,29,6000,0.3901079281799136,0.0,3abd99ef140bde5e9320aa3112afc43157fb57cde28562b66dba63f709bf39be
week9-m4-linear-f100-seed29,M4,linear,100,29,12000,0.39399201036547743,0.01,3abd99ef140bde5e9320aa3112afc43157fb57cde28562b66dba63f709bf39be
week9-m1-linear-f01-seed43,M1,linear,01,43,120,0.31778571488018,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f05-seed43,M1,linear,05,43,600,0.3552105653644949,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f10-seed43,M1,linear,10,43,1200,0.37302967766178774,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f25-seed43,M1,linear,25,43,3000,0.4105436278155188,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f50-seed43,M1,linear,50,43,6000,0.42209747738831077,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m1-linear-f100-seed43,M1,linear,100,43,12000,0.44879042624355076,0.01,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m2-linear-f01-seed43,M2,linear,01,43,120,0.22141154025961599,0.01,99bb73629172260c83144f08d794343fead7e59d75b35f568243198fb9dc04f2
week9-m2-linear-f05-seed43,M2,linear,05,43,600,0.29297590062197076,0.01,99bb73629172260c83144f08d794343fead7e59d75b35f568243198fb9dc04f2
week9-m2-linear-f10-seed43,M2,linear,10,43,1200,0.31004863605630906,0.01,99bb73629172260c83144f08d794343fead7e59d75b35f568243198fb9dc04f2
week9-m2-linear-f25-seed43,M2,linear,25,43,3000,0.3189767336622733,0.01,99bb73629172260c83144f08d794343fead7e59d75b35f568243198fb9dc04f2
week9-m2-linear-f50-seed43,M2,linear,50,43,6000,0.30109049154103984,0.0,99bb73629172260c83144f08d794343fead7e59d75b35f568243198fb9dc04f2
week9-m2-linear-f100-seed43,M2,linear,100,43,12000,0.3332396404774151,0.01,99bb73629172260c83144f08d794343fead7e59d75b35f568243198fb9dc04f2
week9-m3-linear-f01-seed43,M3,linear,01,43,120,0.2905106376018468,0.0,422eaac47816faabf3e4406008e5eaef656c60f8ad7a4c6f2752265d8db92c20
week9-m3-linear-f05-seed43,M3,linear,05,43,600,0.32740425723379496,0.01,422eaac47816faabf3e4406008e5eaef656c60f8ad7a4c6f2752265d8db92c20
week9-m3-linear-f10-seed43,M3,linear,10,43,1200,0.3483498041854292,0.01,422eaac47816faabf3e4406008e5eaef656c60f8ad7a4c6f2752265d8db92c20
week9-m3-linear-f25-seed43,M3,linear,25,43,3000,0.367828365996282,0.01,422eaac47816faabf3e4406008e5eaef656c60f8ad7a4c6f2752265d8db92c20
week9-m3-linear-f50-seed43,M3,linear,50,43,6000,0.38616655496910324,0.0001,422eaac47816faabf3e4406008e5eaef656c60f8ad7a4c6f2752265d8db92c20
week9-m3-linear-f100-seed43,M3,linear,100,43,12000,0.40071781318343935,0.0001,422eaac47816faabf3e4406008e5eaef656c60f8ad7a4c6f2752265d8db92c20
week9-m4-linear-f01-seed43,M4,linear,01,43,120,0.2630782325896193,0.01,6c1e68de14aafeabc93e83e9dc5c2af5043a42f9914e399fbeec993a84a9cf57
