condition,left_model,right_model,domain,grouping,observed_paired_difference,bootstrap_mean,percentile_2_5,percentile_97_5,replicates,p_value
clean,M4,M3,I,MGRS,0.0020681297810808408,0.0034153813879667532,-0.005672907675525926,0.013324462658418705,1000,
clean,M4,M3,Finland,MGRS,-0.01267223266095537,-0.012744058111205304,-0.02959746697460149,0.0029620232782313297,1000,
clean,M4,M3,Portugal,MGRS,0.0006626381479176158,-0.00010391303544472871,-0.009533126404902096,0.004135598637396727,1000,
clean,M4,M3,OOD,MGRS,-0.006004797256518877,-0.006423985573325017,-0.015685263850769838,0.00219989645233539,1000,
clean,M4,M3,I,12km-block,0.0020681297810808408,0.002241028132239776,-0.0030783963198363472,0.007334891679086398,1000,
clean,M4,M3,Finland,12km-block,-0.01267223266095537,-0.013307022759860015,-0.019339388772878236,-0.007760515937889864,1000,
clean,M4,M3,Portugal,12km-block,0.0006626381479176158,0.001349361537766044,-0.0034556786208189442,0.006890989203928173,1000,
clean,M4,M3,OOD,12km-block,-0.006004797256518877,-0.005978830611046985,-0.009839461905814797,-0.0020898225902855716,1000,
missing_b08,M4,M3,I,MGRS,0.03643841504940696,0.03627201874881067,0.009233468493175091,0.06520225019016898,1000,
missing_b08,M4,M3,Finland,MGRS,0.007714369969725178,0.0078055846719628065,-0.006082131645949171,0.02156130084583089,1000,
missing_b08,M4,M3,Portugal,MGRS,0.006959432034113496,0.005852635646355213,0.002284760723639312,0.00723865001831181,1000,
missing_b08,M4,M3,OOD,MGRS,0.007336901001919337,0.00682911015915901,-0.0003880340617845955,0.013803677485678874,1000,
missing_b08,M4,M3,I,12km-block,0.03643841504940696,0.036455238331461345,0.02583899823585838,0.047137483439521455,1000,
missing_b08,M4,M3,Finland,12km-block,0.007714369969725178,0.00800683673851424,0.002400689580263763,0.014279030259629613,1000,
missing_b08,M4,M3,Portugal,12km-block,0.006959432034113496,0.007097710361379706,0.0019346496823782566,0.012374267219561775,1000,
missing_b08,M4,M3,OOD,12km-block,0.007336901001919337,0.0075522735499469725,0.004028869351155183,0.011689229479350338,1000,
missing_red_edge,M4,M3,I,MGRS,0.03358074556016002,0.034172974714912416,0.009712691097412799,0.05964083904127757,1000,
missing_red_edge,M4,M3,Finland,MGRS,0.038239394949159254,0.041299653181072316,0.016041059182839986,0.06865075794425742,1000,
missing_red_edge,M4,M3,Portugal,MGRS,0.02854230998206661,0.026271981286028173,0.011693504250145184,0.030688374804744917,1000,
missing_red_edge,M4,M3,OOD,MGRS,0.03339085246561293,0.033785817233550244,0.020793991256055404,0.04779317545696129,1000,
missing_red_edge,M4,M3,I,12km-block,0.03358074556016002,0.033806295283715176,0.023654579213615787,0.044995956992140214,1000,
missing_red_edge,M4,M3,Finland,12km-block,0.038239394949159254,0.039321148247206034,0.030402678209872438,0.04845489991922374,1000,
missing_red_edge,M4,M3,Portugal,12km-block,0.02854230998206661,0.028726921431315423,0.023636513283765447,0.03401370722726755,1000,
missing_red_edge,M4,M3,OOD,12km-block,0.03339085246561293,0.03402403483926074,0.029037503513916395,0.03958042728353106,1000,
missing_swir,M4,M3,I,MGRS,0.11327586627760128,0.10692787980096297,0.06760807969770559,0.1399634875553155,1000,
missing_swir,M4,M3,Finland,MGRS,0.034361911620507446,0.03798222428648887,0.01496000138104719,0.06306822934372534,1000,
missing_swir,M4,M3,Portugal,MGRS,0.0464726615213731,0.043432723477023004,0.003785009781272747,0.05365096480461117,1000,
missing_swir,M4,M3,OOD,MGRS,0.04041728657094027,0.04070747388175595,0.02313574137147707,0.05477044744035856,1000,
missing_swir,M4,M3,I,12km-block,0.11327586627760128,0.11255606696734194,0.09691224428744442,0.1273011991263277,1000,
missing_swir,M4,M3,Finland,12km-block,0.034361911620507446,0.035186579073580596,0.02468745521943844,0.044665171304248054,1000,
missing_swir,M4,M3,Portugal,12km-block,0.0464726615213731,0.04649935195221666,0.04107166728438464,0.05209846857034961,1000,
missing_swir,M4,M3,OOD,12km-block,0.04041728657094027,0.04084296551289863,0.034784447814548605,0.04670284741360695,1000,
gain_0p9,M4,M3,I,MGRS,0.01057207357655147,0.010221418979595743,-0.0030276268920479132,0.022942664459005915,1000,
gain_0p9,M4,M3,Finland,MGRS,-0.009810274689270815,-0.01010383068536584,-0.026310459586341078,0.006411091666857321,1000,
gain_0p9,M4,M3,Portugal,MGRS,0.0008616352043567069,0.0001700689101872717,-0.00834113413029323,0.007722618197777957,1000,
gain_0p9,M4,M3,OOD,MGRS,-0.004474319742457054,-0.004966880887589283,-0.014070635747623239,0.004178588379439736,1000,
gain_0p9,M4,M3,I,12km-block,0.01057207357655147,0.010607347861753677,0.0040988291410497275,0.017333372616784953,1000,
gain_0p9,M4,M3,Finland,12km-block,-0.009810274689270815,-0.010754278650511094,-0.01928348074411384,-0.0019412807415107628,1000,
gain_0p9,M4,M3,Portugal,12km-block,0.0008616352043567069,0.0021831064153458777,-0.003896161101781787,0.011774842187285984,1000,
gain_0p9,M4,M3,OOD,12km-block,-0.004474319742457054,-0.004285586117582609,-0.00975374165691783,0.002043596028457855,1000,
gain_1p1,M4,M3,I,MGRS,-0.00262218607133885,0.0007958066667751786,-0.008337573212530862,0.010318559976419103,1000,
gain_1p1,M4,M3,Finland,MGRS,-0.014286477353605035,-0.014986441659222034,-0.028910488100711444,-0.0012293828171147574,1000,
gain_1p1,M4,M3,Portugal,MGRS,0.002144088214860951,0.001409776412263177,-0.006068616097160491,0.005990465973832386,1000,
gain_1p1,M4,M3,OOD,MGRS,-0.006071194569372042,-0.00678833262347943,-0.014517428067413954,0.0008754620579462859,1000,
gain_1p1,M4,M3,I,12km-block,-0.00262218607133885,-0.0022806675116526427,-0.007941030656465443,0.0035410219611545454,1000,
gain_1p1,M4,M3,Finland,12km-block,-0.014286477353605035,-0.014642286911191635,-0.020128422569941917,-0.009481392648654753,1000,
gain_1p1,M4,M3,Portugal,12km-block,0.002144088214860951,0.0028828417506506954,-0.002485623603248593,0.010076245375545629,1000,
gain_1p1,M4,M3,OOD,12km-block,-0.006071194569372042,-0.005879722580270469,-0.009705064321269767,-0.00159679621989416,1000,
