run_id,model_id,seed,condition,domain,class_index,class_name,positive_count,negative_count,average_precision,recall_at_source_v_threshold,in_c_source,ap_degradation_from_clean
week5-m3-f10-seed17,M3,17,clean,I,0,Agro-forestry areas,0,3000,,,False,
week5-m3-f10-seed17,M3,17,clean,I,1,Arable land,1036,1964,0.7546609127819937,0.8764478764478765,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,2,"Beaches, dunes, sands",24,2976,0.01842337043466039,0.0,False,0.0
week5-m3-f10-seed17,M3,17,clean,I,3,Broad-leaved forest,718,2282,0.33963158893030937,0.6796657381615598,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,4,Coastal wetlands,1,2999,0.0011507479861910242,0.0,False,0.0
week5-m3-f10-seed17,M3,17,clean,I,5,Complex cultivation patterns,665,2335,0.4244834143888694,0.7714285714285715,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,6,Coniferous forest,580,2420,0.6857097450439268,0.7379310344827587,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,7,Industrial or commercial units,87,2913,0.18212704380102315,0.1839080459770115,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,8,Inland waters,208,2792,0.2893082254799518,0.36538461538461536,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,9,Inland wetlands,273,2727,0.08722326802050823,0.014652014652014652,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,10,"Land principally occupied by agriculture, with significant areas of natural vegetation",694,2306,0.33400022450463235,0.5230547550432276,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,11,Marine waters,617,2383,0.9765560843195704,0.8638573743922204,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,12,Mixed forest,812,2188,0.5596444959883288,0.6687192118226601,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,13,"Moors, heathland and sclerophyllous vegetation",107,2893,0.05021538433630799,0.009345794392523364,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,14,Natural grassland and sparsely vegetated areas,70,2930,0.04090038517893885,0.014285714285714285,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,15,Pastures,1100,1900,0.6740821775374249,0.6954545454545454,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,16,Permanent crops,151,2849,0.15274835846347826,0.019867549668874173,True,0.0
week5-m3-f10-seed17,M3,17,clean,I,17,"Transitional woodland, shrub",326,2674,0.1714535586732383,0.3098159509202454,True,0.0
